collisionID,trackID,mcID,eta,pt,p,phi,motherPDG,nClusters,trackType,pDca,chi2,chi2MatchMCHMID,rabs,isPrompt,tracktime,sign
525,52,835015,3.76965,0.0433201,0.939783,-9.95547,321,12,0,42.3603,1.61E+06,6.875,36.1643,1,12.496644,-1
568,57,869467,-3.29912,0.500214,6.7843,-1.31073,321,11,2,244.737,4768,-1,16.956,1,49.902634,1
568,-97,869467,-2.71664,0.51467,3.91031,-2.00285,321,11,4,244.737,0.490234,-1,16.956,1,49.902634,1
577,-97,876849,-3.07632,0.272395,2.95883,2.40012,211,9,3,60.8057,0.0908203,0.703125,67.2435,1,12.474237,1
577,58,876849,-2.47211,0.954,5.69146,2.33204,211,9,0,60.8057,22784,0.703125,67.2435,1,12.474237,1
677,-97,945844,-3.13374,0.428094,4.92376,-2.28192,211,10,3,75.9601,0.115723,1.73438,29.446,1,386.731049,1
677,62,945844,-3.54013,0.445653,7.68761,-1.73725,211,10,0,75.9601,1416,1.73438,29.446,1,386.731049,1
701,-97,960265,-2.89336,0.411493,3.72593,0.721128,211,10,3,147.373,0.124512,1.33594,17.7632,0,12.48103,1
701,66,960265,-3.57733,0.566489,10.1418,1.317,211,10,0,147.373,3632,1.33594,17.7632,0,12.48103,1
735,-97,983670,-2.98189,0.358889,3.54864,-0.450676,411,10,3,66.4879,0.0507812,2.15625,33.3741,1,-12.481607,-1
735,68,983670,-3.45037,0.450159,7.0999,-0.552806,411,10,0,66.4879,10.9375,2.15625,33.3741,1,-12.481607,-1
736,-97,987588,-3.24103,1.36261,17.4409,2.74246,321,10,3,49.2794,0.0493164,0.273438,39.9468,1,711.091614,-1
736,70,987588,-3.32047,1.45442,20.1506,2.83415,321,10,0,49.2794,70,0.273438,39.9468,1,711.091614,-1
838,73,1065664,-2.8093,0.406551,3.38628,-1.84489,211,10,2,32.9216,592,-1,55.2255,1,174.66925,-1
838,-97,1065664,-2.58163,0.232252,1.54382,-2.46606,211,10,4,32.9216,0.132812,-1,55.2255,1,174.66925,-1
866,-97,1085806,-3.53764,1.67167,28.7649,-0.613553,321,10,3,56.9168,0.0415039,1.67188,28.0106,1,12.458815,-1
866,74,1085806,-3.18611,3.62117,43.8805,-0.785213,321,10,0,56.9168,1192,1.67188,28.0106,1,12.458815,-1
912,-97,1126624,-2.77932,0.648204,5.24075,1.03506,211,10,3,5.80374,0.209961,0.417969,61.7118,1,12.461214,1
912,76,1126624,-2.79683,0.92922,7.64448,0.997878,211,10,0,5.80374,9.25,0.417969,61.7118,1,12.461214,1
1025,81,1231916,-3.29174,0.316049,4.25512,-0.437878,211,11,2,8.24239,25.625,-1,36.2836,1,798.420654,-1
1025,-97,1231916,-3.32637,0.147657,2.05783,-0.293842,211,11,4,8.24239,0.166992,-1,36.2836,1,798.420654,-1
1197,-98,1362787,-3.76956,0.283715,6.15436,-0.671688,211,10,3,14.1708,0.163086,0.449219,21.8891,1,511.495361,1
1197,82,1362787,-3.42549,0.681701,10.488,-0.690951,211,10,0,14.1708,9728,0.449219,21.8891,1,511.495361,1
1252,-98,1407506,-2.51721,0.808767,5.04452,1.20919,321,13,3,37.2997,0.0717773,0.369141,76.7739,1,62.387543,1
1252,84,1407506,-2.58488,1.11357,7.42591,1.05734,321,13,0,37.2997,306,0.369141,76.7739,1,62.387543,1
1259,-98,1417400,-3.16699,0.634301,7.54123,-0.822468,211,10,3,68.6536,0.0986328,0.476562,35.8212,1,12.472848,-1
1259,86,1417400,-3.35518,0.700291,10.0441,-0.898468,211,10,0,68.6536,13.375,0.476562,35.8212,1,12.472848,-1
1339,-98,1479487,-3.21804,0.249148,3.11673,2.53072,321,10,3,60.4255,0.0493164,3.78125,21.3356,1,12.460389,-1
1339,88,1479487,-3.55681,0.464189,8.14177,2.92711,321,10,0,60.4255,502,3.78125,21.3356,1,12.460389,-1
1438,-98,1546452,-3.73598,2.41385,50.634,0.143917,333,11,3,5.01234,0.0493164,0.235352,24.278,1,12.482345,-1
1438,92,1546452,-3.37526,3.27582,47.9354,0.163399,333,11,0,5.01234,1072,0.235352,24.278,1,12.482345,-1
1456,-98,1557815,-2.9051,0.700351,6.41587,-0.354046,321,11,3,32.9355,0.220703,1.49219,50.8114,1,12.493326,-1
1456,94,1557815,-3.10492,0.791957,8.85104,-0.174724,321,11,0,32.9355,32.75,1.49219,50.8114,1,12.493326,-1
1549,97,1618425,-3.47242,0.276458,4.45729,-0.976473,421,10,2,20.6684,153,-1,35.7145,1,748.509827,1
1549,-98,1618425,-3.13331,0.211701,2.43387,-0.471045,421,10,4,20.6684,0.291016,-1,35.7145,1,748.509827,1
1654,-98,1688433,-2.34856,0.458063,2.41995,2.36366,211,11,3,161.007,0.341797,1.35938,30.6166,1,87.350822,1
1654,101,1690770,-3.30457,0.357105,4.86978,-0.799305,211,12,2,50.9464,15.375,-1,33.5376,1,249.47583,1
1654,98,1688433,-3.11456,0.699693,7.89527,2.32059,211,11,0,161.007,56,1.35938,30.6166,1,87.350822,1
1654,-98,1690770,-3.08932,0.242195,2.66506,-0.310564,211,12,4,50.9464,0.177734,-1,33.5376,1,249.47583,1
1662,-98,1695418,-3.13059,0.271276,3.11034,-2.49706,211,10,3,35.6624,0.21875,0.582031,34.1186,0,286.935791,-1
1662,102,1695418,-3.37107,0.357604,5.21099,-2.5099,211,10,0,35.6624,7.71875,0.582031,34.1186,0,286.935791,-1
3,3,10554,-3.13968,0.424412,4.91042,-0.683877,211,10,2,11.9098,66.5,-1,36.349,1,49.901356,1
