collisionID,trackID,mcID,eta,pt,p,phi,motherPDG,nClusters,trackType,pDca,chi2,chi2MatchMCHMID,rabs,isPrompt,tracktime,sign
205,-1,164854,-3.36732,1.57342,22.8423,0.00876746,211,12,3,259.012,0.0922852,0.773438,23.1557,1,12.484466,1
498,-1,402898,-3.79374,0.614093,13.6466,2.73645,211,12,3,135.36,0.105469,0.554688,19.3992,0,411.690582,1
586,-5,471134,-3.14719,0.582895,6.79465,2.24538,211,12,3,159.657,0.494141,0.917969,20.0323,1,12.475475,-1
706,-5,585562,-3.4992,1.02323,16.9442,0.277457,521,10,3,190.793,0.101074,0.15625,19.2435,1,286.932831,1
855,-5,697009,-2.98645,0.636618,6.3234,0.260093,211,10,3,37.8932,0.205078,0.878906,53.4772,0,486.537354,-1
1116,-6,890905,-3.42647,0.599006,9.2248,-2.34566,211,10,3,147.908,0.0893555,0.648438,19.9217,1,1085.359131,-1
1438,-6,1133819,-3.31272,0.828144,11.3854,2.24302,211,10,3,74.8479,0.117676,0.267578,32.2661,0,12.468927,-1
566,-8,424157,-3.82557,0.511169,11.7264,-1.55245,211,10,3,118.237,0.0844727,0.110352,27.1302,1,436.639374,1
649,-8,487190,-2.82339,0.737486,6.22926,0.303494,211,10,3,251.493,0.226562,1.29688,19.675,1,12.484506,1
774,-8,583977,-2.6702,0.709633,5.14911,0.876977,211,11,3,208.826,0.0771484,0.480469,30.6393,1,361.797455,1
915,-8,687541,-3.46811,0.52325,8.40009,-2.82301,211,11,3,16.1978,0.147461,1.33594,30.1109,1,12.473283,1
1102,-9,841412,-2.52152,1.22837,7.69444,-0.87109,211,10,3,93.1874,0.0732422,0.570312,70.9347,1,12.475542,-1
1145,-9,877719,-3.79008,0.934307,20.6867,-1.97128,211,10,3,46.7742,0.186523,0.174805,20.7402,1,12.477166,1
1313,-9,1006692,-2.93039,0.68771,6.46048,-0.786493,211,9,3,289.348,0.125977,1.875,16.1555,0,12.47659,-1
1473,-9,1129436,-2.80062,1.33594,11.0319,3.07927,421,11,3,68.9688,0.162109,1.34375,65.1105,1,760.991455,-1
1502,-9,1155750,-3.38203,0.563256,8.29802,0.421311,321,9,3,112.945,0.177734,0.378906,25.9366,1,37.448715,1
1603,-9,1233851,-2.66782,0.664234,4.80837,-0.205573,211,10,3,56.5256,0.236328,0.632812,72.2162,1,12.473037,-1
120,-116,501932,-3.22722,0.531914,6.7152,0.220001,211,10,3,30.0367,0.123047,0.267578,34.888,1,361.790527,-1
633,-117,893713,-3.73171,0.933349,19.4951,2.30764,321,10,3,111.165,0.0722656,0.166992,22.5707,1,12.476731,1
642,-117,900504,-3.41816,0.606411,9.26171,-2.58567,321,10,3,94.9517,0.0698242,1.00781,26.8547,1,212.084488,1
